"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1897","1832","1697","1625","1656","1570","1662","1633","1546","1436","1412","1302",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27485","27362","25593","26743","26355","26646","25988",
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20555","21240","20855","19772","20067","19661","19649","19856","19574","19303","18739","18640",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6356","6290","5985","5989","5905",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17010","16497","16398","16528","16092","16058","15976","16035",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2060","2042","1992","1918","1815","1796","1865","1841","1918","1767","1673","1592",,
"        Master's degree (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"133429","173120","177862","219197","244101","270564","293994","322981","329087","358728","354601","357744","359811",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3695","3756","3884","3821","3857",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"666","645","663","719","688","643",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5038","5131","4984","5141","5111",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2019","1930","1961","1948","2187",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"30477","31113","31931","32723","33657","35715","36692","39709","39604","41680","41456","41821",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5326","5482","5674","5754","5918","6208","6418","6701","6886","6976","7057","7031",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6110","5961","5961",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"833","883","926","998","956","1024","1077","1182","1204","1140","1202","1144",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1185","1315","1515","1655","1760","1842","1862","1930","1932",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11549","11634","11475","11656","12478","13139","13782","14596","15218","15897","15869","16318",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9021","8325","8383","8937","8876","9113","9197","9175","9350","8654","8745",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1488","1486","1498","1471","1407",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"753","837","756","811","831","922","889","950","1005","1036","1050","1059",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17038","17539","17575","18128","18758","18502","18838","18020","17859",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4131","4053","4252","4398","4518","4747","4889","5159","5082","5104","5014","4975",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2026","2113","2245","2356","2658","2679","2690","2873","2930","2999","2982","3036",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2404","2520","2590","2772","2807","3130","3020","3099","3209","3330","3188","3096",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3357","3430","3641","3605","3877","3982","4083","4043","4263","4290","4370","4293",,
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3216","3221","3246","3267","3275","3449","3453","3407",,
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1161","1111","1243","1180","1155",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8735","8974","9442","9843","10299","10478","10590","10505","10653",,
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10728","11207","11829","12385","12670","12419","12871",,
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9400","8981","8697","8750","8698","8731","9292","8963","9533","9433","9542",,
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6516","6722","6940","7076","7207","7192","7144",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2057","2034","2119","2146","2079","2177",,
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5926","6163","6279","6407","6566","6719","6887","6795","6733",,
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"598","583","575","636","678","648","748","763","761","765","767",,
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1546","1736","1787","1842","1963","2019","2173","2422","2387","2487","2424","2481",,
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1555","1608","1540","1614","1672","1678","1639","1601","1709",,
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1217","1215","1254","1293","1506","1474","1581","1606","1716","1800","1714","1774",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15752","15616","15901",,
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1416","1286","1295","1218","1261","1320","1320","1370","1186","1133","1084",,
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16253","28503","28932","30291","30540","31098","31901","32567","32448","33616","33330","33389",,
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8551","8747","9086","9694","10134","10217","10254","10446",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"417","411","514","458","571","582","675","694","751","783","783","776",,
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10209","10501","10953","11105","11376","11927","11876","12376","12567","12445","12254","12349",,
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1983","2091","2190","2365","2422","2466","2579","2403","2472",,
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3286","3369","3450","3572","3758","3767","3842","3985","4139","3922","3883",,
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12395","12576","13138","13675","14346","14867","14979","15703","15966","15918","16003","16131",,
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"984","1037","1102","1067",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3098","3337","3429","3486","3793","3989","3991","4213","4541","4535","4408","4467",,
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"518","562","562","619","641","642","739","724","823","816","820","859",,
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"4315","4404","4473","4720","4863","5125","5385","5591","5796","5889","5887","6095",,
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"15710","16862","17398","18221","19228","20178","21531","23762","25199","26219","25678","26381",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1834","1970","2073","2277","2383","2471","2515","2678","2680","2656",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"597","635","638","654","620","664","657","720","681","752","747","692",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13039","13383","13252","12732","12733","12795",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6023","6248","6580","6605","6680","7263","7164","7601","7953","8204","8392","8434",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1238","1253","1156","1246","1167",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5258","5467","5384","5466","5389","5506","5338","5345",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"275","344","336","363","373","422","421","446","458","499","490","467",,
"        Some college credit, but not a degree (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"434028","527105","536096","618123","679225","715392","748354","812796","810048","807772","780284","751020","728950",
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"178","151","121","147","12493","12545",
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"182","204","217","166","156","2556","2446",
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"357","395","551","578","18661","18249",
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"175","254","232","197","8566",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"20097","18211","19611","18257","17767","21693","19686","21372","22705","25358","23826","88705","85435",
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2029","886","794","736","760","749","631","664","618","750","896","13177","12669",
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"116","93","6078","5946",
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"339","296","287","131","100","70","87","74","70","59","46","2127","1997",
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"467","473","201","123","107","139","68","58","1171","1139",
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1784","2049","1614","1270","1371","1576","1881","1673","1636","2379","2419","40610",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7663","8873","6620","5850","5193","4405","3636","2008","1179","829","22893","22718",
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"113","103","103","114","3433","3518",
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"941","597","215","143","143","137","132","108","106","109","119","5476","5562",
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2093","1809","1971","1856","1960","2543","3070","3250","27669",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"945","839","821","383","332","271","246","146","119","136","137","16215","15388",
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"612","617","651","357","61","18","18","16","42","72","58","6349","6263",
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1494","1499","1220","237","193","143","105","73","93","110","115","7350","7079",
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"720","649","677","666","557","591","541","199","183","273","248","12130","11703",
"                Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"617","723","175","239","218","299","420","12217","11550",
"                Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21","20","23","21","2663",,
"                Maryland (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1310","1252","673","501","375","395","407","409","13647","13009",
"                Massachusetts (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2493","2378","2232","2015","1995","2713","12377","12086",
"                Michigan (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1163","1147","921","629","580","649","651","899","1125","1142","25100","23715",
"                Minnesota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"684","598","675","859","984","771","12272",,
"                Mississippi (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"368","60","55","71","68","8795","8393",
"                Missouri (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"467","438","421","428","239","211","253","262","16607","16022",
"                Montana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"114","113","94","77","121","96","83","50","47","48","2594","2489",
"                Nebraska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"32","23","24","29","37","27","18","32","21","15","12","5294","5167",
"                Nevada (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"570","492","525","860","691","671","849","1039","7657","7417",
"                New Hampshire (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1518","1281","1153","1086","312","165","134","76","92","73","60","2382",,
"                New Jersey (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"527","681","12994","12505",
"                New Mexico (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"548","431","546","547","524","462","334","302","100","55","6365","6092",
"                New York (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"9742","4257","4345","4399","4048","3877","3939","4475","3730","1138","1210","35082","33762",
"                North Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"712","379","227","279","322","337","271","25807",,
"                North Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"263","233","231","225","117","110","105","128","136","152","143","2118","2144",
"                Ohio (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2840","2621","2456","2442","2529","2634","2647","905","994","539","394","25493","24688",
"                Oklahoma (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"989","993","1027","1017","156","161","132","135","11534","11148",
"                Oregon (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"311","249","211","224","250","262","246","223","231","218","9847","9822",
"                Pennsylvania (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3835","3665","3227","2262","2157","2199","2652","2259","1291","889","977","22909","22416",
"                Rhode Island (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1391","1272","294","2202",,
"                South Carolina (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2973","2063","2087","1592","199","218","212","133","178","166","174","13570","13319",
"                South Dakota (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"124","111","95","86","61","40","39","33","20","30","40","1975","1871",
"                Tennessee (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"754","774","642","598","613","596","459","333","415","506","539","18865","18678",
"                Texas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1253","1058","898","771","441","476","517","575","592","588","582","79731",,
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1249","1211","1282","1250","1337","1271","1317","1286","765","11451",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"101","100","80","77","42","41","33","35","52","44","34","982","987",
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1124","1060","2283","978","1005","17297","16558",
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1943","970","741","655","824","726","854","758","896","1085","1319","18566","18294",
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111","104","98","84","3978","3768",
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"503","277","290","247","264","328","338","11284","10985",
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"372","308","84","85","55","53","71","70","72","80","50","1706","1580",
"    By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"        Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"64804","64546","62475","60050","59354","58448","58167","59422","59657","59151","58941","57761","58615","57634"
"        Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11052","11442","11324","11471","11456","11187","11446","11392","11282","11209","10445","10086","9822","9447"
"        Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"102981","99442","92798","87477","85543","86441","85600","86887","85351","84520","81872","80723","79375","76923"
"        Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41378","40669","39808","38540","38715","38347","37832","38511","38886","38274","37520","37018","36564","35210"
"        California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"566414","551779","527020","510198","502120","503755","494705","502879","491748","488827","471658","454920","446479","419612"
"        Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"70809","70031","68628","66355","65055","65187","65007","65830","66581","66613","64382","62885","62869","61493"
"        Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41660","40399","38896","37708","37281","36539","36085","36285","35746","36015","35221","34725","34258","33448"
"        Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12170","12090","11559","11364","11257","11023","10831","10972","11166","10992","10855","10621","10562","10336"
"        District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"8864","9130","9040","9165","9295","9399","9288","9509","9578","9858","9560","9212","9079","8858"
"        Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"239165","231445","221394","214590","213414","213148","215407","219991","224269","225022","223630","221542","220002","209612"
"        Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"151137","146603","141377","133947","132409","130280","128748","130946","131404","130042","129243","126172","126371","122266"
"        Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19134","19484","18887","18988","18956","18980","18987","18550","18420","18059","17517","16972","16797","15730"
"        Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25019","25149","23737","23198","22305","22963","22383","22876","22827","22482","22181","21403","22063","21520"
"        Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"180836","176795","171163","165200","161312","159160","156931","158556","158116","154445","149390","144815","140128","133207"
"        Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"89864","88742","86673","83940","83701","83227","83102","84080","84040","83091","82170","81646","80859","78087"
"        Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"40886","40224","39701","38719","38214","38702","39094","39687","39482","39403","38430","37785","37649","36080"
"        Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"42004","41833","41396","40649","39642","40341","38839","39223","39154","38053","36519","36261","35395","34360"
"        Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"59368","58375","57551","55784","55370","55758","55686","56170","55971","55449","54752","53922","53069","51581"
"        Louisiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"66301","65268","64973","62379","61888","62642","63201","64497","64692","63178","61018","59615","58941","57070"
"        Maine (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14120","13609","13470","12970","12704","12798","12776","12698","12607","12705","12298","12311","11779","11532"
