"Years","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"                Utah (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"14833","14575","13431","12513","11824","11669","11391","11309","10622","10515","10138","9927",,
"                Vermont (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1513","1472","1406","1355","1360","1303","1235","1214","1074","1018","896","848",,
"                Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"25752","24845","24075","22876","22090","21821","20998","20191","19796","18741","17973","17122",,
"                Washington (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"21064","21306","20528","18641","18525","18035","17408","17165","16273","15616","14841","14122",,
"                West Virginia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"6746","6589","6600","6305","6398","6374","6602","6252","5962","5541","5449","5160",,
"                Wisconsin (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"16972","16875","15958","14969","14412","14121","13684","13435","12865","11914","11602","10929",,
"                Wyoming (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2525","2525","2315","2229","2113","2047","2119","2069","2047","1760","1562","1497",,
"         25-29 (People)","1108291","1128188","1151934","1147720","1165711","1201350","1199519","1216080","1239256","1263098","1277108","1219965","1179264","1128862","1088845","1063539","1071287","1069436","1083010","1078252","1087547","1058265","1060391","1086366","1104485","1131596","1181899","1208408","1195774","1166787","1133713","1127583","1123900","1120777","1145392","1152311","1149122","1123577","1099491","1078097","1022033"
"            By State",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"                Alabama (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"18434","18603","18086","17683","17498","17347","17480","18141","18531","18649","18774","18348",,
"                Alaska (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3184","3388","3410","3447","3462","3380","3547","3536","3525","3546","3369","3140",,
"                Arizona (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"28833","28207","26507","25027","24377","24745","24872","25164","25347","25381","24850","24370",,
"                Arkansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"11715","11497","11410","11090","11338","11104","11089","11378","11806","11882","11740","11527",,
"                California (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"150629","147157","141070","136936","134322","133812","130234","132634","129918","130052","124921","118957",,
"                Colorado (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"19687","19513","19115","18592","18313","18585","18454","18652","18699","18722","18101","17545",,
"                Connecticut (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"10505","10293","9892","9517","9747","9488","9343","9581","9383","9401","8984","8822",,
"                Delaware (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"3346","3500","3328","3313","3300","3162","3148","3304","3326","3312","3341","3119",,
"                District of Columbia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1965","2046","2045","1996","1888","1973","1864","1951","1951","2086","2015","1816",,
"                Florida (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"64904","63574","61782","60733","60335","60981","61962","64106","66417","66326","65989","64851",,
"                Georgia (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"41330","40327","38923","36582","36490","36069","35958","37212","38080","38163","38300","37288",,
"                Hawaii (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"5099","5291","5274","5311","5286","5269","5322","5190","5095","5106","4841","4703",,
"                Idaho (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"7909","8155","7532","7570","7141","7317","7299","7222","7332","7174","7285","6976",,
"                Illinois (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"50665","49309","47486","45516","44504","43672","42541","43178","43379","42669","40922","39836",,
"                Indiana (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"27141","26940","26316","25569","25788","25466","25415","26044","26577","26474","26354","26238",,
"                Iowa (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"13537","13394","13196","12915","12919","12947","13097","13299","13296","13323","12982","12980",,
"                Kansas (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"12841","12778","12820","12596","12545","12741","12233","12311","12357","11816","11507","11385",,
"                Kentucky (People)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"17472","16848","16723","16133","16227","16477","16328","16887","17267","17169","17228","16831",,
